#Load(N)	Displacement (mm)
155.098	6.972
144.523	6.982
131.798	6.993
120.317	7.002
108.285	7.011
99.411	7.018
91.999	7.026
86.255	7.035
82.349	7.043
78.439	7.053
75.399	7.059
72.699	7.066
70.449	7.071
68.199	7.081
66.936	7.089
66.599	7.09
